d,team,code,v
2023-06-19,vusk,wacc,7.4
2023-06-19,ottobi,wacc,7.5
2023-06-19,Cjio,wacc,7.5
2023-06-19,Pitpo,wacc,7.5
2023-06-19,Rusted,wacc,7.5
2023-06-19,DriveSwitch,wacc,7.5
2023-06-19,ROBOH,wacc,7.5
2023-06-19,fovro,wacc,7.5
2023-06-19,SpeedLabs,wacc,7.5
2023-06-19,Motion,wacc,7.5
2023-06-19,Kar,wacc,7.5
2023-06-19,Matic,wacc,7.5
2023-06-19,TenQ,wacc,7.5
2023-06-19,Nyxx,wacc,7.5
2023-06-19,Tazox,wacc,7.5
2023-06-19,MileMode,wacc,7.5
2023-06-19,AutoInfinite,wacc,7.5
2023-06-19,Carz,wacc,7.5
2023-06-19,Drivat,wacc,7.4
2023-06-19,Turbo,wacc,7.4
2023-06-19,Hoqa,wacc,7.4
2023-06-19,Caraxa,wacc,7.5
2023-06-19,Carvato,wacc,7.5
2023-06-19,Amxu,wacc,7.5
2023-06-19,Rush,wacc,7.5
2023-06-19,CarLeap,wacc,7.5
2023-06-19,DentCenter,wacc,7.5
2023-06-19,rimovo,wacc,7.5
2023-06-19,Fastun,wacc,7.5
2023-06-19,NitroRide,wacc,7.5
2023-06-19,Xuad,wacc,7.5
2023-06-19,Teuso,wacc,7.5
2023-06-19,Wheelic,wacc,7.5
2023-06-19,Evi,wacc,7.5
2023-06-19,CarSpa,wacc,7.5
2023-06-19,Worthwheel,wacc,7.5
2023-06-19,iAuto,wacc,7.4
2023-06-19,Honkli,wacc,7.5
2023-06-19,EliteTechs,wacc,7.5
2023-06-19,Drift,wacc,7.5
2023-06-19,Slidyn,wacc,7.5
2023-06-19,Electronically,wacc,7.5
2023-06-19,HXH,wacc,7.5
2023-06-19,GIIQ,wacc,7.5
2023-06-19,Carzio,wacc,7.5
2023-06-19,Automovo,wacc,7.5
2023-06-19,Automotiq,wacc,7.5
2023-06-19,evCU,wacc,7.5
2023-06-19,Torque,wacc,7.5
2023-06-19,EvolutionAuto,wacc,7.5
2023-06-19,VroomTime,wacc,7.5
2023-06-19,RYDI,wacc,7.5
2023-06-19,Rollovo,wacc,7.5
2023-06-19,Drivesly,wacc,7.5
2023-06-19,Blazers,wacc,7.5
2023-06-19,caralo,wacc,7.5
2023-06-19,DriveSwitch,factory_utilization,97.0
2023-06-19,SpeedLabs,factory_utilization,97.0
2023-06-19,ROBOH,factory_utilization,94.0
2023-06-19,Kar,factory_utilization,91.0
2023-06-19,Pitpo,factory_utilization,90.0
2023-06-19,Tazox,factory_utilization,86.0
2023-06-19,Motion,factory_utilization,86.0
2023-06-19,Rusted,factory_utilization,85.0
2023-06-19,Cjio,factory_utilization,83.0
2023-06-19,MileMode,factory_utilization,83.0
2023-06-19,Nyxx,factory_utilization,83.0
2023-06-19,vusk,factory_utilization,75.0
2023-06-19,Matic,factory_utilization,74.0
2023-06-19,AutoInfinite,factory_utilization,72.0
2023-06-19,fovro,factory_utilization,71.0
2023-06-19,ottobi,factory_utilization,67.0
2023-06-19,TenQ,factory_utilization,67.0
2023-06-19,Carz,factory_utilization,57.0
2023-06-19,CarLeap,factory_utilization,91.0
2023-06-19,Worthwheel,factory_utilization,86.0
2023-06-19,Rush,factory_utilization,84.0
2023-06-19,CarSpa,factory_utilization,83.0
2023-06-19,Teuso,factory_utilization,83.0
2023-06-19,Evi,factory_utilization,82.0
2023-06-19,Wheelic,factory_utilization,80.0
2023-06-19,Drivat,factory_utilization,75.0
2023-06-19,Carvato,factory_utilization,75.0
2023-06-19,NitroRide,factory_utilization,69.0
2023-06-19,DentCenter,factory_utilization,68.0
2023-06-19,Xuad,factory_utilization,67.0
2023-06-19,Amxu,factory_utilization,66.0
2023-06-19,Hoqa,factory_utilization,61.0
2023-06-19,Fastun,factory_utilization,57.0
2023-06-19,rimovo,factory_utilization,56.0
2023-06-19,Caraxa,factory_utilization,54.0
2023-06-19,Turbo,factory_utilization,53.0
2023-06-19,Electronically,factory_utilization,94.0
2023-06-19,Torque,factory_utilization,86.0
2023-06-19,EliteTechs,factory_utilization,86.0
2023-06-19,Blazers,factory_utilization,80.0
2023-06-19,Rollovo,factory_utilization,80.0
2023-06-19,Slidyn,factory_utilization,80.0
2023-06-19,iAuto,factory_utilization,79.0
2023-06-19,Automovo,factory_utilization,76.0
2023-06-19,Drift,factory_utilization,75.0
2023-06-19,Carzio,factory_utilization,74.0
2023-06-19,Drivesly,factory_utilization,72.0
2023-06-19,evCU,factory_utilization,71.0
2023-06-19,Honkli,factory_utilization,71.0
2023-06-19,HXH,factory_utilization,71.0
2023-06-19,RYDI,factory_utilization,71.0
2023-06-19,VroomTime,factory_utilization,67.0
2023-06-19,EvolutionAuto,factory_utilization,63.0
2023-06-19,Automotiq,factory_utilization,63.0
2023-06-19,caralo,factory_utilization,60.0
2023-06-19,GIIQ,factory_utilization,52.0
2023-06-19,Tazox,scores,1301.4
2023-06-19,Rusted,scores,1294.5
2023-06-19,Motion,scores,1280.6
2023-06-19,MileMode,scores,1279.9
2023-06-19,Pitpo,scores,1276.2
2023-06-19,DriveSwitch,scores,1272.0
2023-06-19,ROBOH,scores,1199.8
2023-06-19,fovro,scores,1195.2
2023-06-19,SpeedLabs,scores,1159.5
2023-06-19,Nyxx,scores,1158.3
2023-06-19,Cjio,scores,1157.9
2023-06-19,ottobi,scores,1128.6
2023-06-19,AutoInfinite,scores,1082.9
2023-06-19,Carz,scores,1070.9
2023-06-19,Kar,scores,1064.9
2023-06-19,Matic,scores,902.8
2023-06-19,vusk,scores,868.2
2023-06-19,TenQ,scores,844.4
2023-06-19,Rush,scores,1282.8
2023-06-19,Wheelic,scores,1276.0
2023-06-19,Teuso,scores,1241.2
2023-06-19,Xuad,scores,1216.3
2023-06-19,Fastun,scores,1211.3
2023-06-19,NitroRide,scores,1173.3
2023-06-19,Carvato,scores,1148.3
2023-06-19,Amxu,scores,1093.0
2023-06-19,CarLeap,scores,1069.7
2023-06-19,CarSpa,scores,1064.6
2023-06-19,Worthwheel,scores,1045.1
2023-06-19,Drivat,scores,1042.6
2023-06-19,Evi,scores,1031.5
2023-06-19,Caraxa,scores,1012.8
2023-06-19,Hoqa,scores,983.6
2023-06-19,Turbo,scores,829.4
2023-06-19,rimovo,scores,784.8
2023-06-19,DentCenter,scores,731.4
2023-06-19,EliteTechs,scores,1283.9
2023-06-19,Drivesly,scores,1208.0
2023-06-19,Automotiq,scores,1196.7
2023-06-19,Blazers,scores,1151.4
2023-06-19,Carzio,scores,1133.3
2023-06-19,Slidyn,scores,1132.4
2023-06-19,Automovo,scores,1129.1
2023-06-19,EvolutionAuto,scores,1126.4
2023-06-19,iAuto,scores,1089.4
2023-06-19,Rollovo,scores,1083.0
2023-06-19,Honkli,scores,1077.4
2023-06-19,Drift,scores,1064.6
2023-06-19,caralo,scores,1053.7
2023-06-19,HXH,scores,1041.6
2023-06-19,Torque,scores,1026.9
2023-06-19,GIIQ,scores,1022.3
2023-06-19,Electronically,scores,1011.6
2023-06-19,VroomTime,scores,997.9
2023-06-19,RYDI,scores,958.5
2023-06-19,evCU,scores,919.6
2023-06-19,TenQ,employee_engagement,100.0
2023-06-19,Cjio,employee_engagement,100.0
2023-06-19,Matic,employee_engagement,100.0
2023-06-19,ottobi,employee_engagement,100.0
2023-06-19,Tazox,employee_engagement,99.9
2023-06-19,Nyxx,employee_engagement,99.9
2023-06-19,fovro,employee_engagement,99.9
2023-06-19,ROBOH,employee_engagement,99.8
2023-06-19,Carz,employee_engagement,99.5
2023-06-19,Rusted,employee_engagement,99.5
2023-06-19,Pitpo,employee_engagement,99.4
2023-06-19,Kar,employee_engagement,99.4
2023-06-19,Motion,employee_engagement,99.4
2023-06-19,vusk,employee_engagement,99.0
2023-06-19,AutoInfinite,employee_engagement,98.1
2023-06-19,SpeedLabs,employee_engagement,97.5
2023-06-19,MileMode,employee_engagement,97.0
2023-06-19,DriveSwitch,employee_engagement,93.6
2023-06-19,Fastun,employee_engagement,100.0
2023-06-19,Wheelic,employee_engagement,100.0
2023-06-19,Teuso,employee_engagement,99.9
2023-06-19,Drivat,employee_engagement,99.8
2023-06-19,Xuad,employee_engagement,99.8
2023-06-19,Amxu,employee_engagement,99.6
2023-06-19,CarLeap,employee_engagement,99.5
2023-06-19,Rush,employee_engagement,99.5
2023-06-19,Evi,employee_engagement,99.3
2023-06-19,Carvato,employee_engagement,99.3
2023-06-19,rimovo,employee_engagement,99.2
2023-06-19,CarSpa,employee_engagement,98.4
2023-06-19,Caraxa,employee_engagement,98.0
2023-06-19,Hoqa,employee_engagement,98.0
2023-06-19,Worthwheel,employee_engagement,97.2
2023-06-19,Turbo,employee_engagement,97.1
2023-06-19,DentCenter,employee_engagement,95.9
2023-06-19,NitroRide,employee_engagement,91.2
2023-06-19,caralo,employee_engagement,100.0
2023-06-19,EvolutionAuto,employee_engagement,100.0
2023-06-19,Blazers,employee_engagement,100.0
2023-06-19,Slidyn,employee_engagement,100.0
2023-06-19,Rollovo,employee_engagement,100.0
2023-06-19,Carzio,employee_engagement,100.0
2023-06-19,Torque,employee_engagement,100.0
2023-06-19,Automovo,employee_engagement,99.9
2023-06-19,EliteTechs,employee_engagement,99.5
2023-06-19,Electronically,employee_engagement,99.5
2023-06-19,iAuto,employee_engagement,99.2
2023-06-19,Honkli,employee_engagement,99.1
2023-06-19,GIIQ,employee_engagement,99.1
2023-06-19,Automotiq,employee_engagement,97.9
2023-06-19,HXH,employee_engagement,97.9
2023-06-19,VroomTime,employee_engagement,96.7
2023-06-19,evCU,employee_engagement,96.1
2023-06-19,RYDI,employee_engagement,95.3
2023-06-19,Drift,employee_engagement,90.3
2023-06-19,Drivesly,employee_engagement,85.3
2023-06-19,MileMode,interest_coverage,9.0
2023-06-19,Rusted,interest_coverage,9.0
2023-06-19,Carz,interest_coverage,8.0
2023-06-19,Motion,interest_coverage,8.0
2023-06-19,Pitpo,interest_coverage,8.0
2023-06-19,fovro,interest_coverage,8.0
2023-06-19,SpeedLabs,interest_coverage,8.0
2023-06-19,Nyxx,interest_coverage,8.0
2023-06-19,Tazox,interest_coverage,8.0
2023-06-19,Matic,interest_coverage,7.0
2023-06-19,ottobi,interest_coverage,7.0
2023-06-19,ROBOH,interest_coverage,7.0
2023-06-19,DriveSwitch,interest_coverage,7.0
2023-06-19,Cjio,interest_coverage,7.0
2023-06-19,Kar,interest_coverage,6.0
2023-06-19,TenQ,interest_coverage,5.0
2023-06-19,AutoInfinite,interest_coverage,5.0
2023-06-19,vusk,interest_coverage,5.0
2023-06-19,Wheelic,interest_coverage,9.0
2023-06-19,Rush,interest_coverage,8.0
2023-06-19,Teuso,interest_coverage,8.0
2023-06-19,Xuad,interest_coverage,8.0
2023-06-19,Caraxa,interest_coverage,7.0
2023-06-19,Fastun,interest_coverage,7.0
2023-06-19,Amxu,interest_coverage,7.0
2023-06-19,Carvato,interest_coverage,7.0
2023-06-19,CarLeap,interest_coverage,6.0
2023-06-19,Worthwheel,interest_coverage,6.0
2023-06-19,NitroRide,interest_coverage,6.0
2023-06-19,Evi,interest_coverage,6.0
2023-06-19,CarSpa,interest_coverage,6.0
2023-06-19,Drivat,interest_coverage,5.0
2023-06-19,Turbo,interest_coverage,4.0
2023-06-19,Hoqa,interest_coverage,4.0
2023-06-19,DentCenter,interest_coverage,4.0
2023-06-19,rimovo,interest_coverage,2.0
2023-06-19,EliteTechs,interest_coverage,10.0
2023-06-19,Rollovo,interest_coverage,8.0
2023-06-19,Honkli,interest_coverage,8.0
2023-06-19,Automovo,interest_coverage,7.0
2023-06-19,HXH,interest_coverage,7.0
2023-06-19,Drivesly,interest_coverage,7.0
2023-06-19,RYDI,interest_coverage,7.0
2023-06-19,EvolutionAuto,interest_coverage,7.0
2023-06-19,Torque,interest_coverage,7.0
2023-06-19,evCU,interest_coverage,7.0
2023-06-19,Automotiq,interest_coverage,7.0
2023-06-19,Carzio,interest_coverage,7.0
2023-06-19,Drift,interest_coverage,6.0
2023-06-19,caralo,interest_coverage,6.0
2023-06-19,Blazers,interest_coverage,6.0
2023-06-19,Electronically,interest_coverage,5.0
2023-06-19,Slidyn,interest_coverage,5.0
2023-06-19,iAuto,interest_coverage,5.0
2023-06-19,GIIQ,interest_coverage,4.0
2023-06-19,VroomTime,interest_coverage,3.0
2023-06-19,ottobi,marketing_spend_rev,509.6
2023-06-19,Kar,marketing_spend_rev,532.1
2023-06-19,Nyxx,marketing_spend_rev,550.0
2023-06-19,ROBOH,marketing_spend_rev,552.6
2023-06-19,Cjio,marketing_spend_rev,589.6
2023-06-19,TenQ,marketing_spend_rev,591.5
2023-06-19,SpeedLabs,marketing_spend_rev,593.3
2023-06-19,Tazox,marketing_spend_rev,599.0
2023-06-19,vusk,marketing_spend_rev,634.0
2023-06-19,Matic,marketing_spend_rev,642.9
2023-06-19,DriveSwitch,marketing_spend_rev,644.1
2023-06-19,Carz,marketing_spend_rev,653.2
2023-06-19,Pitpo,marketing_spend_rev,689.8
2023-06-19,MileMode,marketing_spend_rev,717.0
2023-06-19,Motion,marketing_spend_rev,726.8
2023-06-19,AutoInfinite,marketing_spend_rev,864.3
2023-06-19,Rusted,marketing_spend_rev,882.9
2023-06-19,fovro,marketing_spend_rev,1029.4
2023-06-19,CarLeap,marketing_spend_rev,413.0
2023-06-19,Evi,marketing_spend_rev,459.3
2023-06-19,Rush,marketing_spend_rev,511.8
2023-06-19,Worthwheel,marketing_spend_rev,522.0
2023-06-19,Carvato,marketing_spend_rev,563.4
2023-06-19,Drivat,marketing_spend_rev,567.3
2023-06-19,Caraxa,marketing_spend_rev,568.0
2023-06-19,NitroRide,marketing_spend_rev,576.7
2023-06-19,Wheelic,marketing_spend_rev,608.2
2023-06-19,rimovo,marketing_spend_rev,609.1
2023-06-19,Teuso,marketing_spend_rev,612.1
2023-06-19,DentCenter,marketing_spend_rev,637.4
2023-06-19,Amxu,marketing_spend_rev,700.8
2023-06-19,CarSpa,marketing_spend_rev,713.3
2023-06-19,Fastun,marketing_spend_rev,721.1
2023-06-19,Xuad,marketing_spend_rev,769.2
2023-06-19,Turbo,marketing_spend_rev,783.9
2023-06-19,Hoqa,marketing_spend_rev,819.3
2023-06-19,EvolutionAuto,marketing_spend_rev,503.0
2023-06-19,Blazers,marketing_spend_rev,518.3
2023-06-19,Automotiq,marketing_spend_rev,545.5
2023-06-19,Drivesly,marketing_spend_rev,559.5
2023-06-19,VroomTime,marketing_spend_rev,566.2
2023-06-19,Slidyn,marketing_spend_rev,570.2
2023-06-19,Electronically,marketing_spend_rev,594.1
2023-06-19,RYDI,marketing_spend_rev,597.8
2023-06-19,Automovo,marketing_spend_rev,613.6
2023-06-19,EliteTechs,marketing_spend_rev,613.8
2023-06-19,Drift,marketing_spend_rev,618.3
2023-06-19,evCU,marketing_spend_rev,618.6
2023-06-19,iAuto,marketing_spend_rev,619.4
2023-06-19,GIIQ,marketing_spend_rev,623.4
2023-06-19,Honkli,marketing_spend_rev,630.0
2023-06-19,Carzio,marketing_spend_rev,631.0
2023-06-19,caralo,marketing_spend_rev,683.6
2023-06-19,Rollovo,marketing_spend_rev,685.5
2023-06-19,HXH,marketing_spend_rev,707.9
2023-06-19,Torque,marketing_spend_rev,722.7
2023-06-19,vusk,e_cars_sales,0.0
2023-06-19,ottobi,e_cars_sales,0.0
2023-06-19,Cjio,e_cars_sales,0.0
2023-06-19,Pitpo,e_cars_sales,0.0
2023-06-19,Rusted,e_cars_sales,0.0
2023-06-19,DriveSwitch,e_cars_sales,0.0
2023-06-19,ROBOH,e_cars_sales,0.0
2023-06-19,fovro,e_cars_sales,0.0
2023-06-19,SpeedLabs,e_cars_sales,0.0
2023-06-19,Motion,e_cars_sales,0.0
2023-06-19,Kar,e_cars_sales,0.0
2023-06-19,Matic,e_cars_sales,0.0
2023-06-19,TenQ,e_cars_sales,0.0
2023-06-19,Nyxx,e_cars_sales,0.0
2023-06-19,Tazox,e_cars_sales,0.0
2023-06-19,MileMode,e_cars_sales,0.0
2023-06-19,AutoInfinite,e_cars_sales,0.0
2023-06-19,Carz,e_cars_sales,0.0
2023-06-19,Caraxa,e_cars_sales,0.0
2023-06-19,Fastun,e_cars_sales,0.0
2023-06-19,Amxu,e_cars_sales,0.0
2023-06-19,Rush,e_cars_sales,0.0
2023-06-19,CarLeap,e_cars_sales,0.0
2023-06-19,DentCenter,e_cars_sales,0.0
2023-06-19,Hoqa,e_cars_sales,0.0
2023-06-19,Carvato,e_cars_sales,0.0
2023-06-19,rimovo,e_cars_sales,0.0
2023-06-19,NitroRide,e_cars_sales,0.0
2023-06-19,Xuad,e_cars_sales,0.0
2023-06-19,Turbo,e_cars_sales,0.0
2023-06-19,Drivat,e_cars_sales,0.0
2023-06-19,Teuso,e_cars_sales,0.0
2023-06-19,Wheelic,e_cars_sales,0.0
2023-06-19,Evi,e_cars_sales,0.0
2023-06-19,CarSpa,e_cars_sales,0.0
2023-06-19,Worthwheel,e_cars_sales,0.0
2023-06-19,Automovo,e_cars_sales,0.0
2023-06-19,Honkli,e_cars_sales,0.0
2023-06-19,EliteTechs,e_cars_sales,0.0
2023-06-19,Drift,e_cars_sales,0.0
2023-06-19,Slidyn,e_cars_sales,0.0
2023-06-19,Electronically,e_cars_sales,0.0
2023-06-19,HXH,e_cars_sales,0.0
2023-06-19,GIIQ,e_cars_sales,0.0
2023-06-19,Carzio,e_cars_sales,0.0
2023-06-19,caralo,e_cars_sales,0.0
2023-06-19,Automotiq,e_cars_sales,0.0
2023-06-19,evCU,e_cars_sales,0.0
2023-06-19,Torque,e_cars_sales,0.0
2023-06-19,EvolutionAuto,e_cars_sales,0.0
2023-06-19,VroomTime,e_cars_sales,0.0
2023-06-19,RYDI,e_cars_sales,0.0
2023-06-19,Rollovo,e_cars_sales,0.0
2023-06-19,Drivesly,e_cars_sales,0.0
2023-06-19,Blazers,e_cars_sales,0.0
2023-06-19,iAuto,e_cars_sales,0.0
2023-06-19,TenQ,co2_penalty,1705.7
2023-06-19,vusk,co2_penalty,1709.8
2023-06-19,Carz,co2_penalty,1749.9
2023-06-19,Kar,co2_penalty,1756.6
2023-06-19,Nyxx,co2_penalty,1780.0
2023-06-19,Cjio,co2_penalty,1782.0
2023-06-19,ottobi,co2_penalty,1784.3
2023-06-19,AutoInfinite,co2_penalty,1802.3
2023-06-19,DriveSwitch,co2_penalty,1804.3
2023-06-19,Pitpo,co2_penalty,1817.2
2023-06-19,ROBOH,co2_penalty,1821.9
2023-06-19,Rusted,co2_penalty,1823.5
2023-06-19,Matic,co2_penalty,1838.2
2023-06-19,fovro,co2_penalty,1845.4
2023-06-19,SpeedLabs,co2_penalty,1851.2
2023-06-19,MileMode,co2_penalty,1882.5
2023-06-19,Tazox,co2_penalty,1910.3
2023-06-19,Motion,co2_penalty,1917.7
2023-06-19,Wheelic,co2_penalty,1672.3
2023-06-19,Fastun,co2_penalty,1735.4
2023-06-19,Worthwheel,co2_penalty,1751.2
2023-06-19,DentCenter,co2_penalty,1758.8
2023-06-19,Carvato,co2_penalty,1766.7
2023-06-19,CarSpa,co2_penalty,1779.1
2023-06-19,Caraxa,co2_penalty,1785.8
2023-06-19,CarLeap,co2_penalty,1786.6
2023-06-19,Drivat,co2_penalty,1798.6
2023-06-19,Turbo,co2_penalty,1801.8
2023-06-19,Teuso,co2_penalty,1808.2
2023-06-19,Rush,co2_penalty,1816.1
2023-06-19,Amxu,co2_penalty,1820.2
2023-06-19,rimovo,co2_penalty,1820.3
2023-06-19,Hoqa,co2_penalty,1823.4
2023-06-19,Evi,co2_penalty,1827.0
2023-06-19,Xuad,co2_penalty,1866.1
2023-06-19,NitroRide,co2_penalty,1910.5
2023-06-19,GIIQ,co2_penalty,1728.6
2023-06-19,Carzio,co2_penalty,1746.2
2023-06-19,Honkli,co2_penalty,1764.1
2023-06-19,Torque,co2_penalty,1770.9
2023-06-19,EliteTechs,co2_penalty,1771.9
2023-06-19,Rollovo,co2_penalty,1772.9
2023-06-19,Drift,co2_penalty,1773.5
2023-06-19,Automovo,co2_penalty,1773.8
2023-06-19,RYDI,co2_penalty,1774.1
2023-06-19,Electronically,co2_penalty,1776.5
2023-06-19,EvolutionAuto,co2_penalty,1777.3
2023-06-19,Blazers,co2_penalty,1788.2
2023-06-19,Drivesly,co2_penalty,1795.1
2023-06-19,Slidyn,co2_penalty,1804.4
2023-06-19,iAuto,co2_penalty,1805.1
2023-06-19,VroomTime,co2_penalty,1811.8
2023-06-19,caralo,co2_penalty,1817.5
2023-06-19,Automotiq,co2_penalty,1841.4
2023-06-19,HXH,co2_penalty,1851.2
2023-06-19,evCU,co2_penalty,1859.9
2023-06-20,SpeedLabs,wacc,7.4
2023-06-20,Motion,wacc,7.4
2023-06-20,AutoInfinite,wacc,7.4
2023-06-20,Cjio,wacc,7.4
2023-06-20,Pitpo,wacc,7.4
2023-06-20,Nyxx,wacc,7.4
2023-06-20,Rusted,wacc,7.5
2023-06-20,DriveSwitch,wacc,7.5
2023-06-20,fovro,wacc,7.5
2023-06-20,vusk,wacc,7.5
2023-06-20,ottobi,wacc,7.5
2023-06-20,Matic,wacc,7.5
2023-06-20,TenQ,wacc,7.5
2023-06-20,Tazox,wacc,7.5
